# m=1, k=39.4784, p=2
# x0=2, v0=5
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
2.4900  -2.044907035415562e+00  -6.964318659537187e+00  2.425086719578892e+01  8.254235951789121e+01
2.5000  -2.110431876518072e+00  -6.134347495043464e+00  1.881510959497301e+01  8.791691027112095e+01
2.5100  -2.167473791447497e+00  -5.268328603050734e+00  1.387764313486125e+01  9.273367064473810e+01
2.5200  -2.215690670717956e+00  -4.369986148464437e+00  9.548389468885523e+00  9.690540461185857e+01
2.5300  -2.254779131045119e+00  -3.443337722370281e+00  5.928287335149077e+00  1.003547086015719e+02
2.5400  -2.284477339251498e+00  -2.492671694282976e+00  3.106706087739781e+00  1.030157075933107e+02
2.5500  -2.304567592736381e+00  -1.522521207928834e+00  1.159035414296538e+00  1.048355654477670e+02
2.5600  -2.314878624074488e+00  -5.376350537839184e-01  1.445257255286184e-01  1.057757687299231e+02
2.5700  -2.315287599858968e+00  4.570543050576792e-01  1.044493188858790e-01  1.058131474062400e+02
2.5800  -2.305721786872895e+00  1.456465237173999e+00  1.060645493548156e+00  1.049406011131292e+02
2.5900  -2.286159862021841e+00  2.455403624802078e+00  3.014503480345592e+00  1.031675060798595e+02
2.6000  -2.256632846145889e+00  3.448601339611278e+00  5.946425599784350e+00  1.005197850881916e+02
2.6100  -2.217224645805342e+00  4.430756101858993e+00  9.815799817080348e+00  9.703963086969712e+01
2.6200  -2.168072191348784e+00  5.396572291369258e+00  1.456149624798722e+01  9.278488185634988e+01
2.6300  -2.109365163970097e+00  6.340802263267070e+00  2.010288667092640e+01  8.782805796420588e+01
2.6400  -2.041345308984825e+00  7.258287711771388e+00  2.634137025342577e+01  8.225507284289371e+01
2.6500  -1.964305337146347e+00  8.144000621745786e+00  3.316237306349787e+01  7.616364749867225e+01
2.6600  -1.878587420417964e+00  8.993083350190670e+00  4.043777407173832e+01  6.966145813318280e+01
2.6700  -1.784581293157428e+00  9.800887388413036e+00  4.802869680017685e+01  6.286405818411059e+01
2.6800  -1.682721974095454e+00  1.056301037012124e+01  5.578859403964438e+01  5.589262068037110e+01
2.6900  -1.573487128740546e+00  1.127533091097223e+01  6.356654357596296e+01  4.887155193630427e+01
